,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,police,police
5,pensais,thought
6,aide,help
7,demande,request
8,genre,kind
9,mois,month
10,frère,brother
11,laisser,let
12,car,because
13,mettre,to put
14,aucun,no
15,laisse,leash
16,eux,them
17,ville,city
18,chaque,each
19,parlé,speak
20,arrivé,come
21,devrait,should
22,bébé,baby
23,longtemps,long time
24,heures,hours
25,vont,will
26,pendant,while
27,revoir,meet again
28,place,square
29,parle,speak
30,compris,understood
31,savais,knew
32,attention,Warning
33,voici,here is
34,pourrais,could
35,affaire,case
36,donner,give
37,leurs,their
38,train,train
39,corps,body
40,endroit,place
41,yeux,eyes
42,façon,way
43,écoute,listen
44,dont,whose
45,trouve,find
46,premier,first
47,perdu,lost
48,première,first
49,côté,side
50,pouvoir,power
51,vieux,old
52,sois,be
53,tiens,here
54,matin,morning
55,tellement,so much
56,enfant,child
57,point,point
58,venu,came
59,suite,after
60,pardon,sorry
61,venez,come
62,devant,in front of
63,vers,towards
64,demandé,request
65,chambre,bedroom
66,mis,placed
67,belle,beautiful
68,droit,law
69,aimerais,would like to
70,aujourd'hui,today
71,mari,husband
72,enfin,finally
73,espère,hope
74,eau,water
75,attendez,Wait
76,parti,left
77,nouvelle,new
78,boulot,job
79,arrêter,Stop
80,terre,Earth
81,donne,given
82,loin,far
83,fin,end
84,croire,believe
85,chérie,sweetheart
86,gros,large
87,plutôt,rather
88,aura,will have
89,filles,girls
90,bureau,office
